"referencia","descr_produto","QTD Vendida","tipo_evento","essential_Y_N","tipo_colecao"
S5869C010,PAPETE TIRAS TACHAS BEGE,29,VERÃO 2026,Não,V26
S5866D045,RASTEIRA ENFEITE VERDE,29,VERÃO 2026,Não,V26
S5866C039,RASTEIRA TRANÇA BORDO,29,VERÃO 2026,Não,V26
S586A5012,ANABELA TEXTURA CARAMELO,29,VERÃO 2026,Não,V26
S586A0012,PAPETE TACHAS CARAMELO,27,VERÃO 2026,Não,V26
S5864L002,SANDÁLIA TIRAS SALTO RÉGUA PRETO,26,VERÃO 2026,Não,V26
S5868G012,SAPATILHA RECORTES TACHAS CARAMELO,26,VERÃO 2026,Não,V26
S5868O002,SANDÁLIA TRAMADO CALCE FÁCIL PRETO,25,VERÃO 2026,Não,V26
S5869Q881,SANDÁLIA TIRAS NÓ OFF WHITE,25,VERÃO 2026,Não,V26
S586AA002,ANABELA FIVELAS PRETO,24,VERÃO 2026,Não,V26
S5869P002,SANDÁLIA MEIA PATA TIRA PRETO,23,VERÃO 2026,Não,V26
C5864C045,SANDÁLIA COURO ENTRELAÇADA VERDE,22,VERÃO 2026,Não,V26
S5864M015,TAMANCO FIVELA VERMELHO,21,VERÃO 2026,Não,V26
C5868R045,RASTEIRA RECORTES VERDE,20,VERÃO 2026,Não,V26
S5864M012,TAMANCO FIVELA CARAMELO,20,VERÃO 2026,Não,V26
C5864C616,SANDÁLIA COURO ENTRELAÇADA NUDE,19,VERÃO 2026,Não,V26
S5866U045,ALPARGATA PAETÊ VERDE,18,VERÃO 2026,Não,V26
S5866U689,ALPARGATA PAETÊ ONCA,18,VERÃO 2026,Não,V26
S58669039,RASTEIRA ESFERAS BORDO,17,VERÃO 2026,Não,V26
S5866S039,SANDÁLIA NÓ BORDO,15,VERÃO 2026,Não,V26
S5868V002,SAPATILHA RECORTES PRETO,13,VERÃO 2026,Não,V26
